Converged in 5 iterations.

Bus Voltages:
Bus Number   Real         Imaginary    Magnitude    Angle       
392          0.9746       0.0035       0.9746       0.21        
393          0.9722       0.0041       0.9722       0.24        
394          0.9711       0.0043       0.9711       0.26        
395          0.9829       0.0016       0.9829       0.09        
396          0.9782       0.0027       0.9782       0.16        
397          0.9746       0.0035       0.9746       0.21        
398          0.9722       0.0041       0.9722       0.24        
399          0.9710       0.0043       0.9711       0.25        
400          0.9863       -0.0007      0.9863       -0.04       
401          0.9793       0.0009       0.9793       0.06        
402          0.9734       0.0023       0.9734       0.14        
403          0.9686       0.0034       0.9686       0.20        
404          0.9650       0.0042       0.9650       0.25        
405          0.9626       0.0047       0.9626       0.28        
406          0.9615       0.0050       0.9615       0.30        
407          0.9784       0.0013       0.9784       0.07        
408          0.9725       0.0026       0.9725       0.16        
409          0.9677       0.0037       0.9677       0.22        
410          0.9641       0.0045       0.9641       0.27        
411          0.9618       0.0050       0.9618       0.30        
412          0.9606       0.0053       0.9606       0.32        
413          0.9784       0.0012       0.9784       0.07        
414          0.9725       0.0026       0.9725       0.15        
415          0.9677       0.0037       0.9677       0.22        
416          0.9641       0.0045       0.9641       0.27        
417          0.9617       0.0051       0.9617       0.30        
418          0.9606       0.0053       0.9606       0.32        
419          0.9863       -0.0007      0.9863       -0.04       
420          0.9791       0.0009       0.9791       0.05        
421          0.9731       0.0022       0.9731       0.13        
422          0.9682       0.0032       0.9682       0.19        
423          0.9645       0.0040       0.9645       0.24        
424          0.9621       0.0045       0.9621       0.27        
425          0.9608       0.0048       0.9609       0.28        
426          0.9782       0.0011       0.9782       0.07        
427          0.9722       0.0025       0.9722       0.15        
428          0.9674       0.0035       0.9674       0.21        
429          0.9636       0.0043       0.9636       0.25        
430          0.9612       0.0048       0.9612       0.29        
431          0.9599       0.0051       0.9599       0.30        
432          0.9782       0.0012       0.9782       0.07        
433          0.9722       0.0025       0.9722       0.15        
434          0.9673       0.0035       0.9673       0.21        
435          0.9636       0.0043       0.9636       0.26        
436          0.9611       0.0048       0.9611       0.29        
437          0.9599       0.0050       0.9599       0.30        
438          0.9863       -0.0007      0.9863       -0.04       
439          0.9792       0.0009       0.9792       0.05        
440          0.9732       0.0023       0.9732       0.13        
441          0.9684       0.0033       0.9684       0.20        
442          0.9648       0.0042       0.9648       0.25        
443          0.9624       0.0047       0.9624       0.28        
444          0.9612       0.0050       0.9613       0.30        
445          0.9783       0.0012       0.9783       0.07        
446          0.9722       0.0025       0.9722       0.15        
447          0.9674       0.0037       0.9674       0.22        
448          0.9639       0.0045       0.9639       0.27        
449          0.9615       0.0050       0.9615       0.30        
450          0.9604       0.0053       0.9604       0.32        
451          0.9783       0.0012       0.9783       0.07        
452          0.9723       0.0026       0.9723       0.15        
453          0.9674       0.0036       0.9674       0.22        
454          0.9639       0.0045       0.9639       0.27        
455          0.9615       0.0050       0.9615       0.30        
456          0.9603       0.0053       0.9604       0.32        
